Block_Length,Compliance_Index
2,0.03385388813744475
3,0.03615187096897406
4,0.03374293361807624
5,0.03952084806368013
6,0.036125055880893396
7,0.033821792020889335
8,0.03374094496535136
9,0.03608280586815857
10,0.03952252784858045
11,0.033676545852495285
12,0.03604485666071514
13,0.03357519915761071
14,0.03392455396612265
15,0.05605177331202787
16,0.033683288319021676
17,0.03368867351961501
18,0.03608986458957075
19,0.0335364228338296
20,0.03938936497846169
21,0.03619388229715766
22,0.033594664277906146
23,0.03408654267171319
24,0.03608759248034322
25,0.03901716563504428
26,0.03346893581656819
27,0.03564037880738555
28,0.033727646862663656
29,0.03404426010285956
30,0.056003131569729775
